waypoint,q1,q2,q3,q4,q5,q6
173,0.42447046931535215,-1.316566864858584,1.5841560798168377,-0.41201443290102896,-1.1502256361650427,0.0
174,0.4233621760255028,-1.3001037936046256,1.5922579386512272,-0.4073914891598438,-1.149919281153034,0.0
175,0.4224673283624923,-1.283667927084819,1.6016042871892835,-0.40614127210901885,-1.1497896870649829,0.0
176,0.4217787689776012,-1.2671980278596633,1.6120923066195274,-0.4082704284602317,-1.1497764207754495,0.0
177,0.42128818740040364,-1.2506139891906198,1.6235926345419016,-0.4137194824779408,-1.1498252525534705,0.0
178,0.4209860778495093,-1.2338266495494425,1.6359657839043165,-0.4224111574100845,-1.14988976260793,0.0
179,0.4208617541716589,-1.2167407444924248,1.649068468718014,-0.43426657823738934,-1.1499313486639728,0.0
180,0.4208960472165258,-1.1992178355345047,1.6640182941903487,-0.45272417659738845,-1.1499149406630413,0.0
181,0.42103639096377526,-1.181019178089199,1.6817425363492813,-0.4814978079691622,-1.1498061223656364,0.0
182,0.4212056390855837,-1.1617758176415667,1.7018639745070978,-0.5211717274039612,-1.1496299704987325,0.0
183,0.4213063872624944,-1.1409358541127053,1.7237013652045754,-0.5715936557663038,-1.1494930432530543,0.0
184,0.4212698338853053,-1.1185930625718212,1.7435082432825815,-0.6225846748941587,-1.1495164411946932,0.0
185,0.4211565551477894,-1.0950730589693476,1.7592534398029303,-0.6666259673432945,-1.1496327998522524,0.0
186,0.4210407346939514,-1.0706294077588476,1.771027757856457,-0.7023973029874575,-1.1497461731995549,0.0
187,0.4209839420715401,-1.0456076374878702,1.7793058262568657,-0.7300749056741319,-1.149801487571117,0.0
188,0.42101132470437025,-1.0194849486041304,1.7863759047298975,-0.7571680986799468,-1.1497883612043787,0.0
189,0.42109496992372425,-0.9920886587676049,1.793193968521884,-0.7877125058760005,-1.149718781492532,0.0
190,0.42119909712160375,-0.9633777010389805,1.7997090516014738,-0.8223414320591428,-1.1496169256340474,0.0
191,0.4212848644290987,-0.9332145618947739,1.8056791371147798,-0.8610686711783174,-1.1495205609377204,0.0
192,0.42130985863493164,-0.9014490582091822,1.8108106661496384,-0.9037709844355132,-1.1494822063926369,0.0
193,0.42122812414102506,-0.8679379448581132,1.8147836015736654,-0.9502695113188228,-1.149569243823179,0.0
194,0.421004574193078,-0.8332994725545841,1.816586451639722,-0.9964778484889852,-1.1498291597849475,0.0
195,0.4207976318133654,-0.8023203041434513,1.8125385021337865,-1.0186529133849842,-1.1500000607206893,0.0
196,0.4207994185060274,-0.7761131129339008,1.8021967294192751,-1.0089578857825188,-1.1500617620719717,0.0
197,0.4210222378615101,-0.7546240446700294,1.7857809301508019,-0.9661727254298602,-1.1507005917303552,0.0
198,0.42134692954720165,-0.7363976918347097,1.7638304417430848,-0.8946094380367597,-1.1531451659403742,0.0
199,0.42178727567307345,-0.7180285737592342,1.739355363159569,-0.8116716653017053,-1.1578973923893991,0.0
200,0.42225402182197935,-0.6994389602718818,1.7132733360215107,-0.7216636715125113,-1.1654431422446005,0.0
201,0.4226147512274904,-0.6805626962151539,1.6855022735325744,-0.624865565938125,-1.176405455481605,0.0
202,0.42280031252691663,-0.661054603460604,1.6563222661983856,-0.5229013087239173,-1.1911613145182447,0.0
203,0.4231564040088519,-0.6404976786632463,1.6285027300890962,-0.42474576215746196,-1.2084688353302628,0.0
204,0.4237595308112788,-0.6195508872295766,1.6030344723679897,-0.3326079292510532,-1.2277076178623871,0.0
205,0.4246013343214207,-0.5986726966807187,1.580007066991907,-0.24600053475943565,-1.2486468728775988,0.0
206,0.4256454776247722,-0.578114738406883,1.559243243263202,-0.1638908291938266,-1.2712149930476446,0.0
207,0.4268303333004835,-0.558001301629654,1.5404492854596685,-0.08514226503849634,-1.2954484701122981,0.0
208,0.4280727636325959,-0.53835982889742,1.5232697152364334,-0.008633306246953187,-1.3214591878114064,0.0
209,0.4292853970154836,-0.5191545594453172,1.5073736717351074,0.0665813937613199,-1.3493647065226708,0.0
210,0.43047672926390435,-0.5004324969294107,1.492868617051576,0.1404527346534796,-1.3789792214403904,0.0
211,0.43159759713546825,-0.4821859236705743,1.4796436459919096,0.21331965323757895,-1.4102342401744543,0.0
212,0.432579950615549,-0.4643397320643538,1.4675006157606427,0.285704019585955,-1.4431080791878592,0.0
213,0.43342811255764147,-0.44691190178045925,1.4565317665531308,0.35760423892775167,-1.4773694769255665,0.0
214,0.4347201544579155,-0.43100061323842254,1.4490618959868922,0.42498568507243195,-1.511297049841089,0.0
215,0.43680775282653383,-0.41755296162470146,1.4464625622326184,0.4853355638055428,-1.5437205580797433,0.0
216,0.443866389235327,-0.41515830161717554,1.4639313946946448,0.5116831411421594,-1.5645568088333925,0.0
